dialogue_id,utt_id,speaker,utterance,%mor,%gra,%adu,%cof
tre02-annotated.txt,1,FAT,you think it's a helicopter ?,pro|you v|think pro|it~cop|be&3S det|a n|helicopter ?,1|2|SUBJ 2|0|ROOT 3|4|SUBJ 4|2|OBJ 5|6|DET 6|4|PRED 7|2|PUNCT,$EXA:a-helicopter $ADD:you-think-it's $DEL:that's-that's $DIST = 1 $REP = 0.40,$NOT
tre02-annotated.txt,0,CHI,look at my (s)tick in here .,v|look prep|at pro:poss:det|my n|stick prep|in pro:dem|here .,1|0|ROOT 2|1|JCT 3|4|MOD 4|2|POBJ 5|1|JCT 6|5|POBJ 7|1|PUNCT,,
tre02-annotated.txt,1,FAT,how come your stick's in there .,adv:wh|how v|come pro:poss:det|your n|stick~aux|be&3S adv|in adv|there .,1|2|LINK 2|0|ROOT 3|4|MOD 4|2|OBJ 5|4|XMOD 6|7|JCT 7|5|JCT 8|2|PUNCT,$EXA:in $ADD:how-come-your-stick's $ADD:there $DEL:look-at-my-stick $DEL:here $DIST = 1 $REP = 0.17,$NOT
tre02-annotated.txt,0,CHI,&ah it's driving away .,pro|it~aux|be&3S part|drive-PRESP adv|away .,1|3|SUBJ 2|3|AUX 3|0|ROOT 4|3|JCT 5|3|PUNCT,,
tre02-annotated.txt,1,FAT,your stick is driving away ?,pro:poss:det|your n|stick aux|be&3S part|drive-PRESP adv|away ?,1|2|MOD 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|4|JCT 6|4|PUNCT,$EXA:drive-away $ADD:your-stick-is $DEL:it's $MEXA:-presp $DIST = 1 $REP = 0.40,$NOT
tre02-annotated.txt,0,CHI,and a dwiveway [: driveway] .,coord|and det|a n|driveway .,1|0|INCROOT 2|3|DET 3|1|COORD 4|1|PUNCT,,
tre02-annotated.txt,1,FAT,"that's not a driveway , that's a boat .",pro:dem|that~cop|be&3S neg|not det|a n|driveway cm|cm pro:dem|that~cop|be&3S det|a n|boat .,1|2|SUBJ 2|0|ROOT 3|2|NEG 4|5|DET 5|2|PRED 6|5|LP 7|8|SUBJ 8|5|XMOD 9|10|DET 10|8|PRED 11|2|PUNCT,"$EXA:a-driveway $ADD:that's-not $ADD:,-that's-a-boat $DEL:and $DIST = 1 $REP = 0.25",$NOT
tre02-annotated.txt,0,CHI,it's a dwiveway [: driveway] !,pro|it~cop|be&3S det|a n|driveway !,1|2|SUBJ 2|0|ROOT 3|4|DET 4|2|PRED 5|2|PUNCT,,
tre02-annotated.txt,1,FAT,that's a wet driveway .,pro:dem|that~cop|be&3S det|a adj|wet n|driveway .,1|2|SUBJ 2|0|ROOT 3|5|DET 4|5|MOD 5|2|PRED 6|2|PUNCT,$EXA:a $EXA:driveway $ADD:that's $ADD:wet $DEL:it's $DIST = 1 $REP = 0.50,$NOT
tre02-annotated.txt,0,CHI,I show [//] I show you my gun .,pro:sub|I pro:sub|I v|show pro|you pro:poss:det|my n|gun .,1|3|SUBJ 2|3|SUBJ 3|0|ROOT 4|3|OBJ 5|6|MOD 6|3|OBJ 7|3|PUNCT,,
tre02-annotated.txt,1,FAT,I thought that was your stick .,pro:sub|I v|think&PAST rel|that cop|be&PAST&13S pro:poss:det|your n|stick .,1|2|SUBJ 2|0|ROOT 3|4|LINK 4|2|COMP 5|6|MOD 6|4|PRED 7|2|PUNCT,$EXA:i $ADD:thought-that-was-your-stick $DEL:i-show-you-my-gun $DIST = 1 $REP = 0.17,$NOT
tre02-annotated.txt,0,CHI,I kwert [: squirt] duh airplane .,pro:sub|I v|squirt co|duh n|airplane .,1|2|SUBJ 2|0|ROOT 3|4|COM 4|2|OBJ 5|2|PUNCT,,
tre02-annotated.txt,1,FAT,you [//] you closed the airplane ?,pro|you part|close-PASTP det|the n|airplane ?,1|2|SUBJ 2|0|ROOT 3|4|DET 4|2|OBJ 5|2|PUNCT,$EXA:airplane $ADD:you-closed-the $DEL:i-squirt-duh $DIST = 1 $REP = 0.25,$COF $ERR = umorph:det;$TYP=subst $ERR = other;$TYP=subst
tre02-annotated.txt,0,CHI,kwert [: squirt] dee [: the] airplane .,v|squirt det|the n|airplane .,1|0|ROOT 2|3|DET 3|1|OBJ 4|1|PUNCT,,
tre02-annotated.txt,1,FAT,enjoyed the airplane ?,v|enjoy-PAST det|the n|airplane ?,1|0|ROOT 2|3|DET 3|1|OBJ 4|1|PUNCT,$EXA:the-airplane $ADD:enjoyed $DEL:squirt $DIST = 1 $REP = 0.67,$COF $ERR = other;$TYP=subst
tre02-annotated.txt,0,CHI,kwert [: squirt] dee [: the] airplane .,v|squirt det|the n|airplane .,1|0|ROOT 2|3|DET 3|1|OBJ 4|1|PUNCT,,
tre02-annotated.txt,1,FAT,"oh , you squirted the airplane .",co|oh cm|cm pro|you v|squirt-PAST det|the n|airplane .,1|4|COM 2|1|LP 3|4|SUBJ 4|0|ROOT 5|6|DET 6|4|OBJ 7|4|PUNCT,"$EXA:squirt-the-airplane $ADD:oh-,-you $EXPAN $MADD:-past $DIST = 1 $REP = 0.50",$COF $ERR = vmorph:regpast;$TYP=omission $ERR = synt:subj;$TYP=omission
tre02-annotated.txt,0,CHI,"like , like with zis [: this] gun .",prep|like cm|cm prep|like prep|with det|this n|gun .,1|0|INCROOT 2|1|LP 3|1|JCT 4|3|POBJ 5|6|DET 6|4|POBJ 7|1|PUNCT,,
tre02-annotated.txt,1,FAT,like with that gun ?,co|like prep|with det|that n|gun ?,1|0|INCROOT 2|1|JCT 3|4|DET 4|2|POBJ 5|1|PUNCT,"$EXA:like-with $EXA:gun $ADD:that $DEL:,-like $DEL:this $DIST = 1 $REP = 0.75",$NOT
tre02-annotated.txt,0,CHI,can't get it out .,mod|can~neg|not v|get pro|it adv|out .,1|3|AUX 2|1|NEG 3|0|ROOT 4|3|OBJ 5|3|JCT 6|3|PUNCT,,
tre02-annotated.txt,1,FAT,"&uh , you keep tryin(g) , you can get .",cm|cm pro|you v|keep n:gerund|try-PRESP cm|cm pro|you mod|can v|get .,1|3|JCT 2|3|SUBJ 3|0|ROOT 4|3|OBJ 5|4|LP 6|8|SUBJ 7|8|AUX 8|4|CJCT 9|3|PUNCT,"$EXA:get $ADD:,-you-keep-trying-,-you-can $DEL:can't $DEL:it-out $DIST = 1 $REP = 0.12",$COF $ERR = synt:subj;$TYP=omission
tre02-annotated.txt,0,CHI,I kwert [: squirt] de [: the] airplane .,pro:sub|I v|squirt det|the n|airplane .,1|2|SUBJ 2|0|ROOT 3|4|DET 4|2|OBJ 5|2|PUNCT,,
tre02-annotated.txt,1,FAT,you squirted him again .,pro|you v|squirt-PAST pro:obj|him adv|again .,1|2|SUBJ 2|0|ROOT 3|2|OBJ 4|2|JCT 5|2|PUNCT,$EXA:squirt $ADD:you $ADD:him-again $DEL:i $DEL:the-airplane $MADD:-past $DIST = 1 $REP = 0.25,$COF $ERR = vmorph:regpast;$TYP=omission
tre02-annotated.txt,0,CHI,I fink dat [: that's] a heocopter [: helicopter] .,pro:sub|I n|fink pro:dem|that~mod|do&3S det|a n|helicopter .,1|2|SUBJ 2|6|MOD 3|6|SUBJ 4|6|AUX 5|6|DET 6|0|INCROOT 7|6|PUNCT,,
tre02-annotated.txt,1,FAT,you think that's a helicopter .,pro|you v|think pro:dem|that~cop|be&3S det|a n|helicopter .,1|2|SUBJ 2|4|LINK 3|4|SUBJ 4|0|ROOT 5|6|DET 6|4|PRED 7|4|PUNCT,$EXA:a-helicopter $ADD:you-think-that's $DEL:i-fink-that's $DIST = 1 $REP = 0.40,$COF $ERR = other;$TYP=subst
tre02-annotated.txt,0,CHI,&ee &ee (L)eann gave me dis [: this] .,n:prop|Leann v|give&PAST pro:obj|me pro:dem|this .,1|2|SUBJ 2|0|ROOT 3|2|OBJ 4|2|OBJ 5|2|PUNCT,,
tre02-annotated.txt,1,FAT,"that's right , Leann gave you that .",pro:dem|that~cop|be&3S n|right cm|cm n:prop|Leann v|give&PAST pro|you rel|that .,1|2|SUBJ 2|0|ROOT 3|2|PRED 4|2|LP 5|6|SUBJ 6|2|PRED 7|8|SUBJ 8|6|OBJ 9|2|PUNCT,"$EXA:leann-give $ADD:that's-right-, $ADD:you-that $DEL:me-this $MEXA:&past $DIST = 1 $REP = 0.29",$NOT
tre02-annotated.txt,0,CHI,gave dis [: this] .,v|give&PAST pro:dem|this .,1|0|ROOT 2|1|OBJ 3|1|PUNCT,,
tre02-annotated.txt,1,FAT,she gave this car .,pro:sub|she v|give&PAST det|this n|car .,1|2|SUBJ 2|0|ROOT 3|4|DET 4|2|OBJ 5|2|PUNCT,$EXA:give-this $ADD:she $ADD:car $EXPAN $MEXA:&past $DIST = 1 $REP = 0.50,$COF $ERR = synt:subj;$TYP=omission
tre02-annotated.txt,0,CHI,"yeah , (L)eann gave me dis [: this] car .",co|yeah cm|cm n:prop|Leann v|give&PAST pro:obj|me det|this n|car .,1|4|COM 2|1|LP 3|4|SUBJ 4|0|ROOT 5|4|OBJ 6|7|DET 7|4|OBJ 8|4|PUNCT,,
tre02-annotated.txt,1,FAT,Leann gave you lots_of things .,n:prop|Leann v|give&PAST pro|you qn|lots_of n|thing-PL .,1|2|SUBJ 2|0|ROOT 3|5|SUBJ 4|5|QUANT 5|2|OBJ 6|2|PUNCT,"$EXA:leann-give $ADD:you-lots_of-things $DEL:yeah-, $DEL:me-this-car $MEXA:&past $DIST = 2 $REP = 0.40",$NOT
tre02-annotated.txt,0,CHI,"yeah , (L)eann gave me dis [: this] car .",co|yeah cm|cm n:prop|Leann v|give&PAST pro:obj|me det|this n|car .,1|4|COM 2|1|LP 3|4|SUBJ 4|0|ROOT 5|4|OBJ 6|7|DET 7|4|OBJ 8|4|PUNCT,,
tre02-annotated.txt,1,FAT,"she didn't know you were going to put the car in the water , though .",pro:sub|she mod|do&PAST~neg|not v|know pro|you aux|be&PAST part|go-PRESP inf|to v|put&ZERO det|the n|car prep|in det|the n|water cm|cm adv|though .,1|4|SUBJ 2|4|AUX 3|2|NEG 4|0|ROOT 5|4|OBJ 6|7|AUX 7|4|COMP 8|9|INF 9|7|XCOMP 10|11|DET 11|9|OBJ 12|9|JCT 13|14|DET 14|12|POBJ 15|14|LP 16|14|NJCT 17|4|PUNCT,$EXA:car $EXA:cm $ADD:she-didn't-know-you-were-going-to-put-the $ADD:in-the-water $ADD:though $DEL:yeah $DEL:leann-gave-me-this $DIST = 3 $REP = 0.13,$NOT
tre02-annotated.txt,0,CHI,dere [: there] gun weep in duh water .,adv|there n|gun v|weep prep|in co|duh n|water .,1|3|JCT 2|3|SUBJ 3|0|ROOT 4|3|JCT 5|6|COM 6|4|POBJ 7|3|PUNCT,,
tre02-annotated.txt,1,FAT,you want em to sleep in the water ?,pro|you v|want pro:obj|them inf|to v|sleep prep|in det|the n|water ?,1|2|SUBJ 2|0|ROOT 3|2|OBJ 4|5|INF 5|2|XCOMP 6|5|JCT 7|8|DET 8|6|POBJ 9|2|PUNCT,$EXA:in $EXA:water $ADD:you-want-em-to-sleep $ADD:the $DEL:there-gun-weep $DEL:duh $DIST = 1 $REP = 0.25,$COF $ERR = umorph:det;$TYP=subst
tre02-annotated.txt,0,CHI,"yeah , every [//] everything goes in duh water .",co|yeah cm|cm pro:indef|everything v|go-3S prep|in co|duh n|water .,1|4|COM 2|1|LP 3|4|SUBJ 4|0|ROOT 5|4|JCT 6|7|COM 7|5|POBJ 8|4|PUNCT,,
tre02-annotated.txt,1,FAT,"here , let's put this over here .",adv|here cm|cm v|let~pro:obj|us v|put&ZERO pro:dem|this adv|over adv|here .,1|3|JCT 2|1|LP 3|0|ROOT 4|3|OBJ 5|3|COMP 6|5|OBJ 7|5|JCT 8|5|JCT 9|3|PUNCT,$EXA:cm $ADD:here $ADD:let's-put-this-over-here $DEL:yeah $DEL:everything-goes-in-duh-water $DIST = 1 $REP = 0.14,$NOT
tre02-annotated.txt,0,CHI,it's it's &uh carry it .,pro|it~cop|be&3S pro|it~mod|do&3S adj|car&dn-Y pro|it .,1|2|SUBJ 2|0|ROOT 3|5|SUBJ 4|5|AUX 5|2|PRED 6|2|PRED 7|2|PUNCT,,
tre02-annotated.txt,1,FAT,it's a carry it ?,pro|it~cop|be&3S det|a adj|car&dn-Y pro|it ?,1|2|SUBJ 2|0|ROOT 3|4|DET 4|2|PRED 5|4|OBJ 6|2|PUNCT,$EXA:it~be $EXA:car-it $ADD:a $DEL:it's $MEXA:~&3s $MEXA:-y&dn $DIST = 1 $REP = 0.75,$NOT
tre02-annotated.txt,0,CHI,from my flower .,prep|from pro:poss:det|my n|flower .,1|0|INCROOT 2|3|MOD 3|1|POBJ 4|1|PUNCT,,
tre02-annotated.txt,1,FAT,it came from the flower Helen gave you .,pro|it v|come&PAST prep|from det|the n|flower n:prop|Helen v|give&PAST pro|you .,1|2|SUBJ 2|0|ROOT 3|2|JCT 4|5|DET 5|3|POBJ 6|7|SUBJ 7|2|COMP 8|7|OBJ 9|2|PUNCT,$EXA:from $EXA:flower $ADD:it-came $ADD:the $ADD:helen-gave-you $DEL:my $DIST = 2 $REP = 0.25,$ERR = synt:subj;$TYP=omission $ERR = synt:verb;$TYP=omission
tre02-annotated.txt,0,CHI,how bout my coffee pot .,adv:wh|how n|bout pro:poss:det|my n|coffee n|pot .,1|5|LINK 2|5|MOD 3|4|MOD 4|5|MOD 5|0|INCROOT 6|5|PUNCT,,
tre02-annotated.txt,1,FAT,coffee pot too ?,n|coffee n|pot adv:int|too ?,1|2|MOD 2|0|INCROOT 3|4|JCT 4|2|PUNCT,$EXA:coffee-pot $ADD:too $DEL:how-bout-my $DIST = 1 $REP = 0.67,$NOT
tre02-annotated.txt,0,CHI,&um put some water in nere [: here] .,v|put&ZERO qn|some n|water adv|in adv|here .,1|0|ROOT 2|3|QUANT 3|1|OBJ 4|1|JCT 5|1|JCT 6|1|PUNCT,,
tre02-annotated.txt,1,FAT,there's water in there already .,pro:exist|there~cop|be&3S n|water prep|in pro:dem|there adv|already .,1|2|SUBJ 2|0|ROOT 3|2|PRED 4|5|JCT 5|2|XCOMP 6|5|JCT 7|2|PUNCT,$EXA:water-in $ADD:there's $ADD:there-already $DEL:put-some $DEL:here $DIST = 1 $REP = 0.40,$NOT
tre02-annotated.txt,0,CHI,&um put some water in nere [: here] .,v|put&ZERO qn|some n|water adv|in adv|here .,1|0|ROOT 2|3|QUANT 3|1|OBJ 4|1|JCT 5|1|JCT 6|1|PUNCT,,
tre02-annotated.txt,1,FAT,you mean water in here ?,pro|you v|mean n|water prep|in pro:dem|here ?,1|2|SUBJ 2|0|ROOT 3|2|OBJ 4|2|JCT 5|4|POBJ 6|2|PUNCT,$EXA:water-in-here $ADD:you-mean $DEL:put-some $DIST = 2 $REP = 0.60,$NOT
tre02-annotated.txt,0,CHI,cowboy's alright .,n|+n|cow+n|boy~poss|s adj|alright .,1|0|INCROOT 2|1|POSS 3|1|XMOD 4|1|PUNCT,,
tre02-annotated.txt,1,FAT,he's alright ?,pro:sub|he~cop|be&3S adj|alright ?,1|2|SUBJ 2|0|ROOT 3|2|PRED 4|2|PUNCT,$EXA:alright $ADD:he's $DEL:cowboy's $DIST = 1 $REP = 0.50,$NOT
tre02-annotated.txt,0,CHI,pu(t) more water .,v|put&ZERO qn|more n|water .,1|0|ROOT 2|3|QUANT 3|1|OBJ 4|1|PUNCT,,
tre02-annotated.txt,1,FAT,no more water .,qn|no qn|more n|water .,1|3|QUANT 2|3|QUANT 3|0|INCROOT 4|3|PUNCT,$EXA:more-water $ADD:no $DEL:put $DIST = 2 $REP = 0.67,$NOT
tre02-annotated.txt,0,CHI,&uh more water .,qn|more n|water .,1|2|QUANT 2|0|INCROOT 3|2|PUNCT,,
tre02-annotated.txt,1,FAT,"no , see , cause they spilled the water .",co|no cm|cm v|see cm|cm n|cause pro:sub|they v|spill-PAST det|the n|water .,1|3|COM 2|1|LP 3|0|ROOT 4|3|LP 5|3|OBJ 6|7|SUBJ 7|5|CMOD 8|9|DET 9|7|OBJ 10|3|PUNCT,"$EXA:water $ADD:no-,-see-,-cause-they-spilled-the $DEL:more $DIST = 1 $REP = 0.11",$NOT
tre02-annotated.txt,0,CHI,&uh more water .,qn|more n|water .,1|2|QUANT 2|0|INCROOT 3|2|PUNCT,,
tre02-annotated.txt,1,FAT,see now we got water here .,v|see adv|now pro:sub|we v|get&PAST n|water adv|here .,1|0|ROOT 2|1|JCT 3|4|SUBJ 4|1|COMP 5|4|OBJ 6|4|JCT 7|1|PUNCT,$EXA:water $ADD:see-now-we-got $ADD:here $DEL:more $DIST = 3 $REP = 0.17,$NOT
tre02-annotated.txt,0,CHI,&uh more water .,qn|more n|water .,1|2|QUANT 2|0|INCROOT 3|2|PUNCT,,
tre02-annotated.txt,1,FAT,and we got water here .,coord|and pro:sub|we v|get&PAST n|water adv|here .,1|3|LINK 2|3|SUBJ 3|0|ROOT 4|3|OBJ 5|3|JCT 6|3|PUNCT,$EXA:water $ADD:and-we-got $ADD:here $DEL:more $DIST = 4 $REP = 0.20,$NOT
tre02-annotated.txt,0,CHI,water here .,n|water adv|here .,1|0|INCROOT 2|1|JCT 3|1|PUNCT,,
tre02-annotated.txt,1,FAT,you're not supposed to have water on the floor .,pro|you~aux|be&PRES neg|not part|suppose-PASTP inf|to v|have n|water prep|on det|the n|floor .,1|4|SUBJ 2|4|AUX 3|2|NEG 4|0|ROOT 5|6|INF 6|4|XCOMP 7|6|OBJ 8|6|JCT 9|10|DET 10|8|POBJ 11|4|PUNCT,$EXA:water $ADD:you're-not-supposed-to-have $ADD:on-the-floor $DEL:here $DIST = 2 $REP = 0.11,$NOT
tre02-annotated.txt,0,CHI,nuh we have_to put peoples in here .,co|nuh pro:sub|we mod:aux|have_to v|put&ZERO n|person&PL-PL adv|in adv|here .,1|4|COM 2|4|SUBJ 3|4|AUX 4|0|ROOT 5|4|OBJ 6|4|JCT 7|4|JCT 8|4|PUNCT,,
tre02-annotated.txt,1,FAT,"when you spill the water , there's no more water left in there .",conj|when pro|you v|spill det|the n|water cm|cm pro:exist|there~cop|be&3S qn|no qn|more n|water n|left adv|in adv|there .,1|3|LINK 2|3|SUBJ 3|0|ROOT 4|5|DET 5|3|OBJ 6|5|LP 7|8|SUBJ 8|5|XMOD 9|11|QUANT 10|11|QUANT 11|12|MOD 12|8|PRED 13|14|JCT 14|12|JCT 15|3|PUNCT,"$EXA:in $ADD:when-you-spill-the-water-,-there's-no-more-water-left $ADD:there $DEL:nuh-we-have_to-put-peoples $DEL:here $DIST = 2 $REP = 0.08",$NOT
tre02-annotated.txt,0,CHI,I have_to make i(c)e cweam .,pro:sub|I mod:aux|have_to v|make n|ice n|cream .,1|3|SUBJ 2|3|AUX 3|0|ROOT 4|5|MOD 5|3|OBJ 6|3|PUNCT,,
tre02-annotated.txt,1,FAT,where you gonna make it ?,adv:wh|where pro|you part|go-PRESP~inf|to v|make pro|it ?,1|3|LINK 2|3|SUBJ 3|0|ROOT 4|5|INF 5|3|XCOMP 6|5|OBJ 7|3|PUNCT,$EXA:make $ADD:where-you-gonna $ADD:it $DEL:i-have_to $DEL:ice-cweam $DIST = 1 $REP = 0.20,$NOT
tre02-annotated.txt,0,CHI,"&um , on your bottom .",cm|cm prep|on pro:poss:det|your n|bottom .,1|0|INCROOT 2|1|JCT 3|4|MOD 4|2|POBJ 5|1|PUNCT,,
tre02-annotated.txt,1,FAT,you're gonna make ice cream on my bottom ?,pro|you~aux|be&PRES part|go-PRESP~inf|to v|make n|ice n|cream prep|on pro:poss:det|my n|bottom ?,1|3|SUBJ 2|3|AUX 3|0|ROOT 4|5|INF 5|3|XCOMP 6|7|MOD 7|5|OBJ 8|5|JCT 9|10|MOD 10|8|POBJ 11|3|PUNCT,"$EXA:on $EXA:bottom $ADD:you're-gonna-make-ice-cream $ADD:my $DEL:, $DEL:your $DIST = 1 $REP = 0.25",$ERR = synt:subj;$TYP=omission $ERR = synt:verb;$TYP=omission $ERR = synt:obj;$TYP=omission
tre02-annotated.txt,0,CHI,"no , no dat [: that's] a fader .",co|no cm|cm qn|no pro:dem|that~cop|be&3S det|a n|fade&dv-AGT .,1|4|COM 2|1|LP 3|4|QUANT 4|5|SUBJ 5|0|ROOT 6|7|DET 7|5|PRED 8|5|PUNCT,,
tre02-annotated.txt,1,FAT,that's a fatter@f ?,pro:dem|that~cop|be&3S det|a fam|fatter ?,1|2|SUBJ 2|0|ROOT 3|4|DET 4|2|PRED 5|2|PUNCT,"$EXA:that~be-a $ADD:fatter@f $DEL:no-,-no $DEL:fader $MEXA:~&3s $DIST = 1 $REP = 0.67",$CLQ $ERR = other;$TYP=subst
tre02-annotated.txt,0,CHI,see my fatter@f right here .,v|see pro:poss:det|my fam|fatter adv|right adv|here .,1|0|ROOT 2|3|MOD 3|1|OBJ 4|5|JCT 5|3|JCT 6|1|PUNCT,,
tre02-annotated.txt,1,FAT,"yeah , that's a fatter@f is right .",co|yeah cm|cm pro:dem|that~cop|be&3S det|a fam|fatter cop|be&3S adv|right .,1|4|COM 2|1|LP 3|4|SUBJ 4|7|LINK 5|6|DET 6|7|SUBJ 7|0|ROOT 8|7|JCT 9|7|PUNCT,"$EXA:fatter $EXA:right $ADD:yeah-,-that's-a $ADD:is $DEL:see-my $DEL:here $DIST = 1 $REP = 0.29",$NOT
tre02-annotated.txt,0,CHI,dis [: this] orns [: orange] .,det|this n|orange .,1|2|DET 2|0|INCROOT 3|2|PUNCT,,
tre02-annotated.txt,1,FAT,it's orange chocolate ?,pro|it~cop|be&3S adj|orange n|chocolate ?,1|2|SUBJ 2|0|ROOT 3|4|MOD 4|2|PRED 5|2|PUNCT,$EXA:orange $ADD:it's $ADD:chocolate $DEL:this $DIST = 2 $REP = 0.33,$NOT
tre02-annotated.txt,0,CHI,"yeah , deez [: these] guys want ice cream .",co|yeah cm|cm det|these n|guy-PL v|want n|ice n|cream .,1|5|COM 2|1|LP 3|4|DET 4|5|SUBJ 5|0|ROOT 6|7|MOD 7|5|OBJ 8|5|PUNCT,,
tre02-annotated.txt,1,FAT,"oh , don't spill your ice cream .",co|oh cm|cm mod|do~neg|not v|spill pro:poss:det|your n|ice n|cream .,1|5|COM 2|1|LP 3|5|AUX 4|3|NEG 5|0|ROOT 6|8|MOD 7|8|MOD 8|5|OBJ 9|5|PUNCT,$EXA:cm $EXA:ice-cream $ADD:oh $ADD:don't-spill-your $DEL:yeah $DEL:these-guys-want $DIST = 1 $REP = 0.43,$NOT
tre02-annotated.txt,0,CHI,have lotsa [: lots_of] cow [//] cowboy give ice cream .,v|have qn|lots_of n|+n|cow+n|boy v|give n|ice n|cream .,1|0|ROOT 2|3|QUANT 3|4|SUBJ 4|1|COMP 5|6|MOD 6|4|OBJ 7|1|PUNCT,,
tre02-annotated.txt,1,FAT,he wants ice cream too ?,pro:sub|he v|want-3S n|ice n|cream adv:int|too ?,1|2|SUBJ 2|0|ROOT 3|4|MOD 4|2|OBJ 5|6|JCT 6|4|PUNCT,$EXA:ice-cream $ADD:he-wants $ADD:too $DEL:have-lots_of-cowboy-give $DIST = 1 $REP = 0.40,$NOT
